,Country_name,UHC_index_service_coverage,UHC_newborn_and_child_health,UHC_Infectious_diseases,UHC_Non_communicable.diseases,UHC_Service_capacity_and_access,Year,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,Confidence_in_national_government,Democratic_Quality,Delivery_Quality,Standard_deviation_of_ladder_by_country_year,Standard_deviation_Mean_of_ladder_by_country_year,GINI_index_estimate_average_2000-16,gini_of_household_income_by_wp5_year,Completeness_birth_registration_female(%),Completeness_birth_registration_male(%),GDP_per_capita_(constant 2010 US$),Gini_index(2017),Population_density(per_sq_km),Research_and_development_expenditure(%_of_GDP)
1,Afghanistan,37,44,32,56,24,2017,2.66171813,7.497754574,0.490880072,52.79999924,0.427010864,-0.112198286,0.954392552,0.49634856,0.371326178,0.261178523,-1.886565924,-1.43780756,1.454050779,0.546282768,NA,0.286598861,..,..,571.5425058,..,55.59599302,..
2,Albania,59,45,69,56,69,2017,4.639548302,9.376145363,0.637698293,68.40000153,0.74961102,-0.032642815,0.876134634,0.669240892,0.33388412,0.457737535,0.299944997,-0.130315468,2.682104826,0.578096092,0.30325,0.41048798,..,..,4864.310616,33.2,104.8706934,..
3,Algeria,78,75,78,69,91,2017,5.248912334,9.540638924,0.806753874,65.69999695,0.436670482,-0.191522107,0.699774206,0.641979635,0.288710028,NA,-0.927691162,-0.816839099,2.039764643,0.388607115,0.276,0.527555764,..,..,4793.946657,..,17.37771461,0.54243
4,Argentina,76,88,64,67,89,2017,6.039330006,9.848709106,0.906699121,68.59999847,0.831966162,-0.182599917,0.841052473,0.809422612,0.291717261,0.305430293,0.351303786,-0.158055663,2.409328938,0.398939759,0.4609375,0.394175798,..,..,10404.26351,41.2,16.09419079,0.54152
5,Armenia,69,67,64,55,98,2017,4.287736416,9.081094742,0.697924912,66.59999847,0.613697052,-0.133957878,0.86468333,0.625013828,0.43714875,0.246900991,-0.633139133,-0.132938728,2.325378895,0.54233253,0.31925,0.478876591,..,..,4198.794749,33.6,103.4355111,0.22788
6,Australia,87,91,82,75,100,2017,7.25703764,10.70658112,0.949957848,73.30000305,0.910550177,0.308772951,0.411346525,0.780078888,0.225360975,0.45340696,1.140083551,1.735671997,1.745698929,0.240552559,0.34275,0.428340912,100,100,56095.18632,..,3.198361419,1.87372
7,Austria,79,91,79,62,88,2017,7.293727875,10.72407532,0.906217813,72.69999695,0.890030563,0.131114438,0.518303812,0.747568727,0.18026872,0.43590793,1.189480543,1.559312701,1.561061978,0.214028001,0.302692308,0.322941631,100,100,49112.73289,29.7,106.6074453,3.05212
8,Azerbaijan,65,49,65,60,94,2017,5.152279377,9.670762062,0.787039399,65.19999695,0.731030464,-0.245215878,0.652539015,0.592359245,0.19831866,0.766583443,-1.162632823,-0.461928248,1.673756838,0.324857533,0.211,0.313743263,..,..,5764.69252,..,119.1972058,0.18468
9,Bahrain,77,85,64,66,98,2017,6.227320671,10.67569351,0.875747144,68.5,0.905858517,0.128193483,NA,0.813570559,0.289759517,NA,-1.167433977,0.226644456,2.215525627,0.355775088,NA,0.446609318,..,..,22128.4327,..,1920.403524,..
10,Bangladesh,48,58,39,57,42,2017,4.309771061,8.167346954,0.712552786,63.79999924,0.896217167,0.016269062,0.635014474,0.568827093,0.21350576,0.876646459,-0.93284297,-0.761903524,1.865365982,0.432822526,0.32775,0.53275013,..,..,1127.271768,..,1226.631274,..
11,Belarus,76,91,68,58,96,2017,5.552915096,9.750800133,0.900255799,65.80000305,0.620979249,-0.129172564,0.654113412,0.540905774,0.232768074,0.447916299,-0.66446048,-0.539596856,1.662563682,0.299403757,0.281294118,0.283250213,..,..,6375.28893,25.4,46.79224208,0.58411
12,Belgium,84,94,81,69,94,2017,6.928347588,10.66098404,0.921639085,71.80000305,0.856801987,0.051760148,0.543046057,0.786367595,0.233597696,0.449731916,0.904255331,1.316667318,1.510013223,0.217947096,0.284307692,0.354373842,100,100,46637.51089,27.4,375.6657199,2.70234
13,Benin,40,46,35,73,21,2017,4.853180885,7.63251543,0.435878992,53.90000153,0.72680825,-0.042811081,0.767234623,0.614722311,0.457920343,0.615089297,0.211715877,-0.571933687,2.998126507,0.617765248,0.432666667,0.5770697,..,..,1166.760575,..,99.10610145,..
14,Bosnia and Herzegovina,61,64,65,43,78,2017,5.089902401,9.368531227,0.775295258,67.5,0.563798666,0.092498638,0.923343062,0.597341657,0.270745516,0.126379713,-0.29460907,-0.339562118,2.281006575,0.448143482,0.3256,0.486203879,..,..,5772.854055,..,65.45951172,0.20048
15,Botswana,61,67,72,62,47,2017,3.504881144,9.668231964,0.768258631,58.20000076,0.817308009,-0.253493279,0.731441498,0.656396449,0.276252508,0.770821095,0.706385911,0.550655007,2.669425488,0.761630833,0.626,0.637864351,88,87,7859.167283,..,3.89096748,..
16,Brazil,79,77,70,71,99,2017,6.332929134,9.554174423,0.904694259,66.19999695,0.764792562,-0.184547558,0.794457376,0.715945125,0.307716906,0.16549027,0.023793146,-0.304572016,2.530506134,0.399579108,0.547285714,0.39262256,..,..,11021.71826,53.3,24.8660385,1.26326
17,Bulgaria,66,81,60,44,87,2017,5.096901894,9.828942299,0.94175458,66.59999847,0.689047039,-0.156459168,0.910799742,0.614216745,0.188637346,0.326087952,0.375986755,0.171329618,1.852363825,0.363429368,0.354666667,0.343219519,..,..,8350.662247,40.4,65.18005711,0.75239
18,Burkina Faso,40,57,44,64,15,2017,4.646891117,7.440206528,0.784761369,53.40000153,0.613774717,-0.054843456,0.727451324,0.585172474,0.353821069,0.540656149,-0.433187962,-0.386786103,2.19759202,0.472916603,0.394666667,0.553144336,..,..,771.2519183,..,70.15089181,0.70072
19,Cambodia,60,73,66,68,38,2017,4.585842133,8.201130867,0.765094936,61.20000076,0.963774681,0.085995324,0.821022928,0.798616648,0.40828383,0.752442479,-0.493880957,-0.876292229,2.732651472,0.595888674,NA,0.545690596,..,..,1135.844336,..,90.69461817,..
20,Cameroon,46,48,47,75,26,2017,5.07405138,8.121161461,0.69459641,51.90000153,0.766945004,-0.031570964,0.84358561,0.632338762,0.377498746,0.578775525,-1.06689775,-0.962742329,2.815224409,0.55482775,0.438333333,0.565237224,..,..,1481.73199,..,51.9685325,..
21,Canada,89,94,82,81,100,2017,7.414868355,10.69234467,0.93374896,73.40000153,0.945145011,0.155016169,0.362034321,0.862773478,0.21798116,0.652735949,1.295283794,1.866527677,1.603363752,0.216236308,0.3368,0.601348937,100,100,51170.47583,33.3,4.018615584,1.67165
22,Central African Republic,33,37,36,55,16,2017,3.475862026,6.494116783,0.319589138,45.20000076,0.645252347,0.093754359,0.889566004,0.613865197,0.599335492,0.650284886,-1.523121834,-1.538732529,2.807073832,0.807590723,0.499,0.715371251,..,..,371.1087922,..,7.377488844,..
23,Chad,28,28,27,65,12,2017,4.558937073,7.477691174,0.660615563,47.70000076,0.614849687,-0.004919504,0.792389929,0.627503157,0.53824544,0.473544389,-1.356479883,-1.349586964,2.880960464,0.631936908,0.4155,0.561519265,..,..,817.5341371,..,11.92564565,..
24,Chile,70,92,74,38,94,2017,6.320119381,10.03306866,0.879840791,69.80000305,0.790116489,-0.030261263,0.835987508,0.83847481,0.291042089,0.268283308,0.688375235,1.059408069,2.162420273,0.342148632,0.491571429,0.574647009,..,..,14741.1925,44.4,24.84148392,0.35518
25,China,79,86,69,65,100,2017,5.099061489,9.636177063,0.772033215,69,0.877617598,-0.191224813,NA,0.821097255,0.214004755,NA,-0.87781024,-0.064554513,2.271663904,0.445506275,0.425,0.633354962,..,..,7346.611355,..,147.6740508,2.14512
26,Colombia,76,82,61,77,85,2017,6.157341957,9.492126465,0.909249961,67.40000153,0.837554634,-0.162942991,0.87501812,0.836926997,0.299308956,0.221882597,-0.33744511,-0.113991968,2.544821501,0.413298726,0.5416,0.542027473,..,..,7622.284022,49.7,44.07486796,0.24294
27,Costa Rica,77,87,68,78,77,2017,7.22518158,9.650206566,0.92169714,71.09999847,0.93561846,-0.073179178,0.742350757,0.874395847,0.275440067,0.407448441,0.815186501,0.404245347,2.07998395,0.287879825,0.490882353,0.469308227,..,..,9775.850878,48.3,96.94386996,0.42336
28,Croatia,71,86,71,46,89,2017,5.343165874,10.02878857,0.770309687,69.59999847,0.715822279,-0.105906412,0.89155972,0.655305028,0.316488236,0.211000666,0.628294408,0.380520016,1.570821404,0.293987006,0.321428571,0.338284969,100,100,15350.44303,30.4,73.7049857,0.8645
29,Cyprus,78,94,75,54,97,2017,6.062051296,10.3863802,0.818671048,73.5,0.811670661,0.040062714,0.851206422,0.784188449,0.300516605,0.312653422,0.827816248,0.904508114,2.369524956,0.390878409,0.326166667,0.410138428,100,100,30650.24479,31.4,127.6709957,0.56092
30,Denmark,81,94,66,71,96,2017,7.593702316,10.75112534,0.952100098,72.09999847,0.955416322,0.152028441,0.18114756,0.823667407,0.205775306,0.572353303,1.190443397,1.868862629,1.66807425,0.219665483,0.267,0.630812943,100,100,62733.01981,28.7,137.2941176,3.046
31,Dominican Republic,74,83,63,77,75,2017,5.605202675,9.588835716,0.894368112,65.5,0.855359018,-0.123324633,0.760489643,0.738943636,0.274745524,0.459901333,0.158870548,-0.397110552,3.240837097,0.57818377,0.484705882,0.480913222,..,..,7273.353765,42.2,217.6181122,..
32,Ecuador,77,81,64,78,86,2017,5.839518547,9.266903877,0.848941743,68.19999695,0.879128158,-0.170977935,0.733588755,0.829141974,0.314343482,0.640512884,-0.137001991,-0.655896366,2.693175316,0.461198181,0.496,0.41333431,..,..,5205.76302,44.7,67.58480029,..
33,El Salvador,76,82,66,76,79,2017,6.339318275,8.8945961,0.82895261,65.80000305,0.757827342,-0.170792967,0.777748585,0.848850608,0.268448353,0.270235062,-0.046964772,-0.470085859,2.477155924,0.39076063,0.457823529,0.402195245,..,..,3441.355251,38,308.3070463,0.18115
34,Estonia,75,89,74,55,89,2017,5.938395977,10.29150963,0.93568635,68.40000153,0.861749232,-0.104597919,0.668402255,0.805217981,0.160164103,0.405946255,0.93688798,1.320733786,1.8518399,0.311841756,0.332461538,0.396599621,100,100,19109.30831,30.4,30.30559006,1.28867
35,Ethiopia,39,46,34,81,19,2017,4.180315495,7.455834389,0.73353976,58,0.717101216,0.007518843,0.75689894,0.608514786,0.304436177,0.768354297,-1.564677238,-0.678986609,1.829915881,0.437745869,0.340333333,0.420267493,..,..,548.4194805,..,106.400024,0.27441
36,Finland,78,93,59,69,98,2017,7.788251877,10.61117172,0.963826418,71.80000305,0.962198973,-0.005695975,0.192412779,0.787137091,0.176065788,0.59753859,1.311007023,1.999899864,1.416398287,0.181863442,0.275615385,0.425614446,100,100,48086.66603,27.4,18.1244908,2.7569
37,France,78,96,71,56,96,2017,6.635222435,10.56115437,0.931494594,73.59999847,0.83389014,-0.127377018,0.601486027,0.762097776,0.241983935,0.37479353,0.67997849,1.301757574,1.631064415,0.245819107,0.320923077,0.372855246,100,100,43015.21064,31.6,122.1140081,2.20557
38,Gabon,49,62,25,66,56,2017,4.782382965,9.714891434,0.806941152,59.20000076,0.652359545,-0.247073993,0.868305504,0.634047151,0.446124285,0.286989242,-0.571620047,-0.803622365,2.457131147,0.513788044,0.422,0.58923018,..,..,9212.972581,38,8.013439671,..
